'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'SRM-USDT','5m','SRM-USDT','2021-08-05','2021-11-19','41','-15.03','-17.54',-43,'73','-0.06','-3.28','-2.43','11','3',48,-412,'30','11','23.16'
'ALGO-USDT','5m','ALGO-USDT','2021-08-05','2021-11-19','43','-12.29','-14.73',-36,'72','-0.07','-2.13','-2.45','10','3',47,-546,'31','12','122.99'
'AVAX-USDT','5m','AVAX-USDT','2021-08-05','2021-11-19','49','-22.33','-23.37',-58,'69','-0.05','-4.07','-2.47','8','2',46,-535,'34','15','632.1'
'SUSHI-USDT','5m','SUSHI-USDT','2021-08-05','2021-11-19','47','-9.88','-12.1',-30,'79','-0.12','-1.86','-2.47','15','2',48,-612,'37','10','0.32'
'CELR-USDT','5m','CELR-USDT','2021-08-05','2021-11-19','38','-17.76','-19.66',-49,'82','-0.06','-2.62','-2.48','9','2',47,-1247,'31','7','242.25'
'ZEN-USDT','5m','ZEN-USDT','2021-08-05','2021-11-19','40','-13.23','-15.23',-38,'75','-0.08','-2.84','-2.52','7','2',48,-417,'30','10','37.17'
'BLZ-USDT','5m','BLZ-USDT','2021-08-05','2021-11-19','51','-7.49','-9.23',-23,'78','-0.21','-1.55','-2.52','10','2',48,-427,'40','11','56.72'
'EGLD-USDT','5m','EGLD-USDT','2021-08-05','2021-11-19','42','-11.14','-12.9',-33,'74','-0.09','-2.56','-2.57','7','2',47,-320,'31','11','199.44'
'COTI-USDT','5m','COTI-USDT','2021-08-05','2021-11-19','44','-18.54','-19.3',-50,'70','-0.18','-2.5','-2.61','15','4',45,-475,'31','13','184.4'
'OCEAN-USDT','5m','OCEAN-USDT','2021-08-05','2021-11-19','45','-19.34','-19.89',-52,'73','-0.07','-3.03','-2.61','9','2',46,-776,'33','12','34.52'
'REEF-USDT','5m','REEF-USDT','2021-08-05','2021-11-19','40','-10.72','-12.21',-32,'78','-0.08','-1.94','-2.63','7','2',47,-747,'31','9','70.24'
'SKL-USDT','5m','SKL-USDT','2021-08-05','2021-11-19','51','-11.28','-12.11',-34,'78','-0.08','-2.21','-2.77','9','2',47,-510,'40','11','15.04'
'STMX-USDT','5m','STMX-USDT','2021-08-05','2021-11-19','50','-14.32','-14.72',-41,'78','-0.34','-2.62','-2.78','12','1',46,-936,'39','11','22.9'
'COMP-USDT','5m','COMP-USDT','2021-08-05','2021-11-19','41','-8.24','-9.09',-25,'76','-0.14','-2.13','-2.8','7','1',47,-341,'31','10','-36.84'
'STORJ-USDT','5m','STORJ-USDT','2021-08-05','2021-11-19','46','-13.15','-13.15',-38,'67','-0.13','-2.99','-2.9','7','2',46,-365,'31','15','57.57'
'BTCDOM-USDT','5m','BTCDOM-USDT','2021-08-05','2021-11-19','21','-6.58','-7.02',-21,'48','-0.07','-2.86','-2.95','3','3',46,-146,'10','11','5.39'
'DOT-USDT','5m','DOT-USDT','2021-08-05','2021-11-19','42','-7.76','-7.76',-24,'71','-0.25','-2.0','-3.1','7','3',47,-389,'30','12','103.28'
