'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'XTZ-USD','5m','XTZ-USD','2021-06-01','2021-09-25','37','0.97','-11.39',3,'27','0.26','0.27','2','8',1837,-416,'10','27','95.31'
'KIN-USD','5m','KIN-USD','2021-06-01','2021-09-25','106','2.1','-27.14',7,'32','0.41','0.25','3','13',2382,-737,'34','72','16.34'
'FLM-USD','5m','FLM-USD','2021-06-01','2021-09-25','41','0.99','-20.49',3,'34','0.25','0.15','7','9',765,-387,'14','27','-13.59'
'DOGE-USD','5m','DOGE-USD','2021-06-01','2021-09-25','27','0.61','-15.26',2,'33','0.23','0.13','3','4',1444,-430,'9','18','-35.55'
'THETA-USD','5m','THETA-USD','2021-06-01','2021-09-25','28','0.47','-13.84',1,'43','0.18','0.11','4','9',815,-256,'12','16','-26.4'
'DYDX-USD','5m','DYDX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SLP-USD','5m','SLP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AGLD-USD','5m','AGLD-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C98-USD','5m','C98-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CVC-USD','5m','CVC-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATLAS-USD','5m','ATLAS-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CLV-USD','5m','CLV-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ONE-USD','5m','ONE-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALICE-USD','5m','ALICE-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'POLIS-USD','5m','POLIS-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MNGO-USD','5m','MNGO-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ICX-USD','5m','ICX-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TULIP-USD','5m','TULIP-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MANA-USD','5m','MANA-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'EDEN-USD','5m','EDEN-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHR-USD','5m','CHR-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CEL-USD','5m','CEL-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USD','5m','TLM-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MVDA25-USD','5m','MVDA25-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MVDA10-USD','5m','MVDA10-USD','2021-06-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SXP-USD','5m','SXP-USD','2021-06-01','2021-09-25','27','-0.39','-15.45',-1,'41','0.1','-0.08','2','3',814,-301,'11','16','3.59'
'HBAR-USD','5m','HBAR-USD','2021-06-01','2021-09-25','26','-0.62','-16.51',-2,'42','0.12','-0.12','4','4',919,-671,'11','15','51.05'
'BRZ-USD','5m','BRZ-USD','2021-06-01','2021-09-25','2','-0.12','-2.95',0,'50','-0.02','-0.13','1','1',44,-56,'1','1','-2.07'
'YFI-USD','5m','YFI-USD','2021-06-01','2021-09-25','33','-0.72','-13.6',-2,'39','0.05','-0.16','4','4',565,-392,'13','20','-37.29'
'KAVA-USD','5m','KAVA-USD','2021-06-01','2021-09-25','33','-0.99','-19.44',-3,'33','0.09','-0.16','3','5',1362,-529,'11','22','77.83'
'TRX-USD','5m','TRX-USD','2021-06-01','2021-09-25','27','-0.57','-10.15',-2,'15','0.07','-0.17','1','7',850,-197,'4','23','20.83'
'XMR-USD','5m','XMR-USD','2021-06-01','2021-09-25','23','-1.16','-15.99',-4,'30','-0.02','-0.22','2','9',779,-216,'7','16','-13.7'
'REEF-USD','5m','REEF-USD','2021-06-01','2021-09-25','21','-3.14','-14.53',-9,'29','-0.28','-0.65','3','4',965,-473,'6','15','-29.73'
'OMG-USD','5m','OMG-USD','2021-06-01','2021-09-25','25','-3.76','-12.7',-11,'28','-0.23','-0.89','2','7',954,-464,'7','18','39.63'
'HOLY-USD','5m','HOLY-USD','2021-06-01','2021-09-25','58','-7.17','-22.67',-21,'29','-0.26','-0.91','2','8',1119,-651,'17','41','148.06'
'PAXG-USD','5m','PAXG-USD','2021-06-01','2021-09-25','1','-1.05','-3.17',-3,'0','-0.73','-1.02','0','1',0,-105,'0','1','-8.27'
'1INCH-USD','5m','1INCH-USD','2021-06-01','2021-09-25','33','-4.36','-10.02',-13,'33','-0.35','-1.3','2','5',758,-334,'11','22','-20.22'
'XRP-USD','5m','XRP-USD','2021-06-01','2021-09-25','27','-9.06','-19.49',-26,'26','-0.78','-1.32','3','6',637,-383,'7','20','-8.62'
'MTA-USD','5m','MTA-USD','2021-06-01','2021-09-25','61','-17.56','-33.05',-45,'26','-0.78','-1.37','3','10',1898,-709,'16','45','-31.22'
'FTM-USD','5m','FTM-USD','2021-06-01','2021-09-25','37','-29.89','-43.19',-67,'35','-1.47','-1.55','1','5',787,-2314,'13','24','277.26'
'ETC-USD','5m','ETC-USD','2021-06-01','2021-09-25','32','-15.97','-26.46',-42,'25','-2.19','-1.58','2','8',655,-264,'8','24','-31.57'
'CREAM-USD','5m','CREAM-USD','2021-06-01','2021-09-25','37','-18.93','-30.34',-48,'41','-1.32','-1.58','3','5',625,-1096,'15','22','10.57'
'LUNA-USD','5m','LUNA-USD','2021-06-01','2021-09-25','37','-13.14','-20.56',-36,'30','-0.85','-1.73','2','5',1123,-414,'11','26','519.87'
'ICP-USD','5m','ICP-USD','2021-06-01','2021-09-25','34','-18.82','-26.76',-48,'29','-1.33','-1.79','2','6',828,-442,'10','24','-59.56'
'AMPL-USD','5m','AMPL-USD','2021-06-01','2021-09-25','58','-19.18','-26.79',-49,'24','-1.92','-1.81','2','11',858,-411,'14','44','5.51'
'YFII-USD','5m','YFII-USD','2021-06-01','2021-09-25','39','-12.69','-18.53',-35,'31','-1.21','-1.86','3','13',714,-331,'12','27','112.26'
'HNT-USD','5m','HNT-USD','2021-06-01','2021-09-25','40','-13.3','-18.91',-36,'30','-1.07','-1.9','3','7',556,-290,'12','28','9.06'
'CHZ-USD','5m','CHZ-USD','2021-06-01','2021-09-25','28','-14.69','-19.75',-39,'32','-1.23','-1.98','3','8',760,-452,'9','19','-3.12'
'LEO-USD','5m','LEO-USD','2021-06-01','2021-09-25','50','-12.93','-17.33',-35,'26','-1.31','-2.02','4','12',867,-304,'13','37','23.2'
'STORJ-USD','5m','STORJ-USD','2021-06-01','2021-09-25','52','-15.87','-19.9',-42,'31','-1.15','-2.09','4','8',1260,-407,'16','36','0.74'
'DASH-USD','5m','DASH-USD','2021-06-01','2021-09-25','44','-22.74','-25.77',-55,'34','-1.84','-2.15','3','9',737,-736,'15','29','-15.74'
'PROM-USD','5m','PROM-USD','2021-06-01','2021-09-25','33','-22.12','-24.22',-54,'33','-1.43','-2.24','2','7',1253,-706,'11','22','4.69'
'WAVES-USD','5m','WAVES-USD','2021-06-01','2021-09-25','31','-22.54','-23.66',-55,'23','-1.86','-2.32','1','7',1078,-423,'7','24','87.47'
'SKL-USD','5m','SKL-USD','2021-06-01','2021-09-25','36','-17.42','-18.39',-45,'39','-1.52','-2.45','3','7',514,-381,'14','22','-30.44'
'TOMO-USD','5m','TOMO-USD','2021-06-01','2021-09-25','30','-17.24','-17.78',-45,'27','-1.45','-2.51','4','6',1273,-399,'8','22','54.38'
'TRYB-USD','5m','TRYB-USD','2021-06-01','2021-09-25','2','-2.07','-2.5',-6,'0','-2.81','-2.53','0','2',0,-185,'0','2','-3.77'
