'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','MqL(I','2021-02-01','2021-08-01','117','45.96','-18.29',113,'35','1.72','6.2','3','6',2021,-989,'41','76','93.52'
'ETH-USD','5m','@Hj:/','2021-02-01','2021-08-01','277','61.58','-26.13',162,'35','1.79','6.19','4','9',1926,-454,'96','181','93.52'
'ETH-USD','5m','>,PVp','2021-02-01','2021-08-01','43','18.38','-6.58',40,'51','1.93','6.12','4','5',637,-269,'22','21','93.52'
'ETH-USD','5m','=Cj7I','2021-02-01','2021-08-01','317','55.45','-23.35',142,'35','1.82','6.09','5','9',2169,-404,'110','207','93.52'
'ETH-USD','5m','HDa9l','2021-02-01','2021-08-01','193','53.43','-22.51',136,'36','1.78','6.04','5','9',1605,-399,'70','123','93.52'
'ETH-USD','5m','<0jVh','2021-02-01','2021-08-01','115','34.36','-13.44',81,'44','2.26','6.01','5','9',957,-292,'51','64','93.52'
'ETH-USD','5m','K3v5u','2021-02-01','2021-08-01','208','38.94','-15.57',93,'46','1.98','6.0','6','13',988,-451,'95','113','93.52'
'ETH-USD','5m','r,W/I','2021-02-01','2021-08-01','211','37.05','-14.69',88,'42','1.87','6.0','5','7',965,-577,'89','122','93.52'
'ETH-USD','5m','NDWVm','2021-02-01','2021-08-01','85','32.48','-12.64',76,'39','1.69','5.99','3','6',1609,-446,'33','52','93.52'
'ETH-USD','5m','_9,\\i','2021-02-01','2021-08-01','77','28.07','-10.75',64,'47','2.12','5.97','4','5',499,-458,'36','41','93.52'
'ETH-USD','5m','<c:OV','2021-02-01','2021-08-01','213','42.69','-17.61',104,'30','1.59','5.91','4','10',1503,-344,'63','150','93.52'
'ETH-USD','5m','kcP^m','2021-02-01','2021-08-01','52','40.35','-16.63',97,'37','1.93','5.86','3','8',2229,-1356,'19','33','93.52'
'ETH-USD','5m','rl?:I','2021-02-01','2021-08-01','114','46.02','-19.51',114,'33','1.69','5.83','2','9',2299,-811,'38','76','93.52'
'ETH-USD','5m','@<CUI','2021-02-01','2021-08-01','333','53.64','-23.5',137,'37','1.9','5.81','5','8',1353,-407,'122','211','93.52'
