'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'BZRX-USDT','5m','BZRX-USDT','2021-07-01','2021-09-27','130','-21.03','-38.95',-62,'43','-1.1','-1.59','4','6',890,-410,'56','74','19.33'
'ZEN-USDT','5m','ZEN-USDT','2021-07-01','2021-09-27','115','-25.65','-43.77',-70,'39','-2.19','-1.61','5','7',835,-284,'45','70','-2.88'
'HOT-USDT','5m','HOT-USDT','2021-07-01','2021-09-27','104','-12.08','-24.59',-41,'38','-0.8','-1.67','4','5',880,-357,'39','65','29.2'
'ZIL-USDT','5m','ZIL-USDT','2021-07-01','2021-09-27','125','-9.69','-20.04',-34,'38','-0.77','-1.7','4','9',861,-281,'47','78','-4.87'
'AKRO-USDT','5m','AKRO-USDT','2021-07-01','2021-09-27','130','-22.73','-38.25',-65,'39','-1.33','-1.71','5','5',1154,-261,'51','79','32.89'
'ICX-USDT','5m','ICX-USDT','2021-07-01','2021-09-27','122','-41.44','-51.27',-89,'33','-3.54','-1.73','2','9',595,-297,'40','82','96.94'
'ATOM-USDT','5m','ATOM-USDT','2021-07-01','2021-09-27','149','-33.56','-46.32',-81,'38','-2.27','-1.76','5','8',759,-336,'57','92','231.28'
'AXS-USDT','5m','AXS-USDT','2021-07-01','2021-09-27','141','-24.89','-38.42',-69,'33','-1.06','-1.8','3','9',1344,-540,'47','94','1016.75'
'CHZ-USDT','5m','CHZ-USDT','2021-07-01','2021-09-27','117','-27.28','-40.44',-73,'35','-2.69','-1.8','3','11',785,-310,'41','76','3.96'
'NEAR-USDT','5m','NEAR-USDT','2021-07-01','2021-09-27','135','-30.37','-41.82',-77,'44','-2.11','-1.85','4','8',1052,-1590,'59','76','250.4'
'KAVA-USDT','5m','KAVA-USDT','2021-07-01','2021-09-27','128','-27.94','-38.48',-74,'38','-2.25','-1.92','4','8',635,-342,'48','80','34.16'
'XMR-USDT','5m','XMR-USDT','2021-07-01','2021-09-27','113','-31.29','-39.83',-79,'34','-3.89','-1.97','4','9',554,-185,'38','75','5.11'
'KSM-USDT','5m','KSM-USDT','2021-07-01','2021-09-27','135','-31.44','-39.74',-79,'39','-2.08','-1.98','4','5',994,-294,'52','83','51.61'
'GRT-USDT','5m','GRT-USDT','2021-07-01','2021-09-27','129','-23.61','-33.22',-67,'43','-1.72','-2.01','6','8',822,-531,'55','74','13.93'
'BLZ-USDT','5m','BLZ-USDT','2021-07-01','2021-09-27','134','-34.37','-40.61',-82,'40','-3.53','-2.02','4','10',642,-510,'53','81','38.66'
'DGB-USDT','5m','DGB-USDT','2021-07-01','2021-09-27','126','-25.18','-34.03',-70,'33','-2.68','-2.04','3','7',732,-254,'42','84','-7.45'
'WAVES-USDT','5m','WAVES-USDT','2021-07-01','2021-09-27','118','-25.1','-33.78',-69,'37','-2.22','-2.06','4','8',719,-297,'44','74','45.27'
'BTT-USDT','5m','BTT-USDT','2021-07-01','2021-09-27','104','-17.89','-26.96',-55,'39','-1.85','-2.06','3','7',832,-439,'41','63','14.82'
'HBAR-USDT','5m','HBAR-USDT','2021-07-01','2021-09-27','118','-40.14','-42.32',-88,'33','-4.39','-2.07','3','10',493,-349,'39','79','71.31'
'ETC-USDT','5m','ETC-USDT','2021-07-01','2021-09-27','101','-21.13','-28.53',-62,'39','-2.49','-2.18','3','6',570,-259,'39','62','-17.85'
'TOMO-USDT','5m','TOMO-USDT','2021-07-01','2021-09-27','127','-25.96','-32.47',-71,'40','-2.42','-2.18','4','6',583,-412,'51','76','24.1'
'XTZ-USDT','5m','XTZ-USDT','2021-07-01','2021-09-27','118','-24.94','-29.27',-69,'41','-1.8','-2.36','4','6',911,-619,'48','70','113.51'
'IOTA-USDT','5m','IOTA-USDT','2021-07-01','2021-09-27','117','-11.51','-16.14',-39,'42','-0.88','-2.44','4','7',637,-369,'49','68','35.56'
'RVN-USDT','5m','RVN-USDT','2021-07-01','2021-09-27','117','-17.22','-20.83',-54,'36','-1.27','-2.59','4','9',815,-343,'42','75','76.43'
'IOST-USDT','5m','IOST-USDT','2021-07-01','2021-09-27','120','-23.63','-24.75',-67,'35','-2.17','-2.7','3','7',890,-479,'42','78','162.45'
