'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'AVAX-USD','5m','AVAX-USD','2021-08-01','2021-09-25','64','21.33','-8.25',253,'58','3.45','30.62','5','3',266,-796,'37','27','432.43'
'FIL-USD','5m','FIL-USD','2021-08-01','2021-09-25','43','15.01','-5.12',149,'44','3.77','29.08','5','4',246,-228,'19','24','21.92'
'MEDIA-USD','5m','MEDIA-USD','2021-08-01','2021-09-25','25','13.31','-4.37',126,'48','4.01','28.76','3','3',238,-198,'12','13','12.95'
'STORJ-USD','5m','STORJ-USD','2021-08-01','2021-09-25','53','18.51','-7.53',203,'51','3.65','26.9','8','5',247,-250,'27','26','5.04'
'PRIV-USD','5m','PRIV-USD','2021-08-01','2021-09-25','47','12.32','-4.44',113,'38','3.37','25.51','3','5',236,-183,'18','29','-10.02'
'PERP-USD','5m','PERP-USD','2021-08-01','2021-09-25','60','20.97','-10.33',246,'52','3.75','23.8','4','5',251,-274,'31','29','-17.59'
'SECO-USD','5m','SECO-USD','2021-08-01','2021-09-25','49','15.33','-6.78',153,'51','3.11','22.62','4','4',245,-313,'25','24','179.62'
'MER-USD','5m','MER-USD','2021-08-01','2021-09-25','17','15.47','-6.94',155,'59','5.25','22.37','6','6',242,-179,'10','7','23.41'
'DEFI-USD','5m','DEFI-USD','2021-08-01','2021-09-25','47','12.66','-6.27',118,'47','3.19','18.74','4','4',235,-191,'22','25','29.73'
'STMX-USD','5m','STMX-USD','2021-08-01','2021-09-25','44','12.75','-7.11',119,'48','3.33','16.68','3','6',238,-339,'21','23','8.36'
'SAND-USD','5m','SAND-USD','2021-08-01','2021-09-25','43','11.73','-6.92',106,'51','2.69','15.31','6','4',239,-440,'22','21','6.17'
'BAO-USD','5m','BAO-USD','2021-08-01','2021-09-25','40','12.36','-7.88',114,'48','3.04','14.43','7','6',248,-286,'19','21','-59.54'
'FTT-USD','5m','FTT-USD','2021-08-01','2021-09-25','65','13.5','-9.39',128,'45','2.8','13.66','3','5',251,-402,'29','36','50.4'
'ALT-USD','5m','ALT-USD','2021-08-01','2021-09-25','43','10.99','-7.23',97,'44','3.06','13.46','4','6',230,-162,'19','24','29.66'
'BAT-USD','5m','BAT-USD','2021-08-01','2021-09-25','42','9.14','-6.59',77,'38','2.61','11.66','3','7',230,-154,'16','26','-7.11'
'ONT-USD','5m','ONT-USD','2021-08-01','2021-09-25','48','9.37','-6.81',79,'44','2.38','11.64','4','5',231,-192,'21','27','-3.56'
'STX-USD','5m','STX-USD','2021-08-01','2021-09-25','44','9.97','-7.54',86,'45','2.57','11.37','4','4',248,-320,'20','24','0.41'
'ICP-USD','5m','ICP-USD','2021-08-01','2021-09-25','56','10.54','-8.61',92,'50','1.98','10.71','6','4',232,-332,'28','28','10.1'
'THETA-USD','5m','THETA-USD','2021-08-01','2021-09-25','34','7.35','-5.56',59,'44','1.94','10.57','3','5',237,-236,'15','19','-15.03'
'ADA-USD','5m','ADA-USD','2021-08-01','2021-09-25','46','12.51','-11.04',116,'48','2.56','10.47','5','4',235,-268,'22','24','72.72'
'XAUT-USD','5m','XAUT-USD','2021-08-01','2021-09-25','10','2.04','-1.42',14,'20','1.96','9.95','1','5',216,-58,'2','8','-3.52'
'MVDA25-USD','5m','MVDA25-USD','2021-08-01','2021-09-25','44','8.24','-6.81',68,'41','2.44','9.92','4','6',225,-151,'18','26','39.88'
'PAXG-USD','5m','PAXG-USD','2021-08-01','2021-09-25','8','2.6','-1.89',18,'38','2.36','9.65','1','4',218,-65,'3','5','-3.52'
'CRV-USD','5m','CRV-USD','2021-08-01','2021-09-25','58','14.31','-16.21',139,'47','2.54','8.58','7','7',249,-265,'27','31','41.86'
'ZEC-USD','5m','ZEC-USD','2021-08-01','2021-09-25','44','6.9','-6.61',54,'41','1.69','8.25','4','7',226,-222,'18','26','-0.61'
'MKR-USD','5m','MKR-USD','2021-08-01','2021-09-25','53','9.64','-11.29',82,'40','2.38','7.28','5','7',237,-188,'21','32','-23.13'
'CAKE-USD','5m','CAKE-USD','2021-08-01','2021-09-25','60','8.01','-10.06',65,'40','1.78','6.49','4','5',232,-196,'24','36','17.99'
'BCH-USD','5m','BCH-USD','2021-08-01','2021-09-25','41','6.19','-7.84',48,'39','1.85','6.11','3','8',233,-282,'16','25','-6.07'
'AUDIO-USD','5m','AUDIO-USD','2021-08-01','2021-09-25','49','8.27','-11.52',68,'51','1.44','5.89','3','4',244,-623,'25','24','82.44'
'MAPS-USD','5m','MAPS-USD','2021-08-01','2021-09-25','50','7.93','-11.71',64,'46','1.91','5.5','4','7',246,-380,'23','27','75.27'
'ROOK-USD','5m','ROOK-USD','2021-08-01','2021-09-25','87','6.92','-10.11',55,'45','1.22','5.41','5','6',234,-344,'39','48','-8.54'
'SHIT-USD','5m','SHIT-USD','2021-08-01','2021-09-25','48','5.47','-7.84',42,'40','1.63','5.3','3','6',219,-176,'19','29','12.11'
'BAL-USD','5m','BAL-USD','2021-08-01','2021-09-25','57','6.24','-9.57',48,'40','1.54','5.05','4','7',227,-201,'23','34','-6.76'
'TRX-USD','5m','TRX-USD','2021-08-01','2021-09-25','47','3.71','-5.63',27,'38','1.16','4.76','3','5',226,-317,'18','29','44.13'
'RAY-USD','5m','RAY-USD','2021-08-01','2021-09-25','70','6.32','-10.43',49,'47','1.24','4.7','4','7',240,-420,'33','37','187.3'
'FIDA-USD','5m','FIDA-USD','2021-08-01','2021-09-25','61','5.06','-10.25',38,'46','1.08','3.7','4','7',229,-353,'28','33','195.47'
'HUM-USD','5m','HUM-USD','2021-08-01','2021-09-25','69','6.56','-14.19',51,'41','1.25','3.62','4','9',223,-466,'28','41','12.43'
'ENJ-USD','5m','ENJ-USD','2021-08-01','2021-09-25','49','3.8','-7.74',28,'39','1.06','3.55','4','6',219,-236,'19','30','-6.7'
'DENT-USD','5m','DENT-USD','2021-08-01','2021-09-25','54','6.69','-15.84',53,'48','1.3','3.32','3','6',239,-416,'26','28','57.49'
'DOT-USD','5m','DOT-USD','2021-08-01','2021-09-25','44','4.1','-10.34',30,'45','1.08','2.9','4','6',221,-320,'20','24','83.63'
'REN-USD','5m','REN-USD','2021-08-01','2021-09-25','50','4.72','-12.22',35,'44','1.03','2.87','5','5',227,-358,'22','28','154.75'
'UNI-USD','5m','UNI-USD','2021-08-01','2021-09-25','58','3.72','-11.21',27,'41','1.01','2.4','4','5',232,-230,'24','34','-9.59'
'1INCH-USD','5m','1INCH-USD','2021-08-01','2021-09-25','54','3.59','-12.17',26,'43','0.88','2.12','4','5',227,-273,'23','31','7.13'
'SNX-USD','5m','SNX-USD','2021-08-01','2021-09-25','55','3.7','-12.6',27,'44','0.83','2.12','3','7',232,-233,'24','31','3.72'
'LUNA-USD','5m','LUNA-USD','2021-08-01','2021-09-25','67','4.77','-20.81',36,'48','0.97','1.71','5','5',260,-562,'32','35','279.77'
'DAWN-USD','5m','DAWN-USD','2021-08-01','2021-09-25','62','1.72','-7.61',12,'40','0.51','1.54','3','6',223,-346,'25','37','-27.73'
'STEP-USD','5m','STEP-USD','2021-08-01','2021-09-25','76','3.07','-14.64',22,'58','0.63','1.49','6','4',225,-1139,'44','32','280.27'
'TOMO-USD','5m','TOMO-USD','2021-08-01','2021-09-25','58','1.76','-8.65',12,'38','0.52','1.39','3','6',221,-299,'22','36','-16.37'
