['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['SNX-USDT', '5m', 'SNX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1000XEC-USDT', '5m', '1000XEC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZEC-USDT', '5m', 'ZEC-USDT', '2020-10-01', '2021-10-01', '471', '-8.41', '-66.47', -8, '37', '-0.02', '0.38', '-0.13', '5', '9', 1105, -937, '172', '299', '67.14']
['CHZ-USDT', '5m', 'CHZ-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['YFI-USDT', '5m', 'YFI-USDT', '2020-10-01', '2021-10-01', '491', '18.49', '-67.16', 18, '38', '0.05', '0.68', '0.28', '4', '8', 1082, -1437, '189', '302', '22.25']
['IOTA-USDT', '5m', 'IOTA-USDT', '2020-10-01', '2021-10-01', '538', '-50.54', '-87.04', -51, '36', '-0.04', '-0.13', '-0.58', '6', '12', 815, -565, '195', '343', '302.54']
['BAL-USDT', '5m', 'BAL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['QTUM-USDT', '5m', 'QTUM-USDT', '2020-10-01', '2021-10-01', '512', '25.74', '-54.97', 26, '38', '0.09', '0.74', '0.47', '5', '8', 1211, -1458, '192', '320', '326.96']
['ZEN-USDT', '5m', 'ZEN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DASH-USDT', '5m', 'DASH-USDT', '2020-10-01', '2021-10-01', '475', '-36.21', '-66.18', -36, '36', '-0.05', '-0.03', '-0.55', '5', '10', 817, -878, '172', '303', '139.81']
['AKRO-USDT', '5m', 'AKRO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MANA-USDT', '5m', 'MANA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MKR-USDT', '5m', 'MKR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ENJ-USDT', '5m', 'ENJ-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CTK-USDT', '5m', 'CTK-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TOMO-USDT', '5m', 'TOMO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LINA-USDT', '5m', 'LINA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HOT-USDT', '5m', 'HOT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALPHA-USDT', '5m', 'ALPHA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SFP-USDT', '5m', 'SFP-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['STORJ-USDT', '5m', 'STORJ-USDT', '2020-10-01', '2021-10-01', '600', '-77.94', '-91.5', -78, '35', '-0.06', '-0.59', '-0.85', '4', '9', 773, -582, '211', '389', '113.58']
['CVC-USDT', '5m', 'CVC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OGN-USDT', '5m', 'OGN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BEL-USDT', '5m', 'BEL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KEEP-USDT', '5m', 'KEEP-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONT-USDT', '5m', 'ONT-USDT', '2020-10-01', '2021-10-01', '506', '-26.96', '-80.29', -27, '35', '-0.03', '0.25', '-0.34', '7', '13', 827, -761, '177', '329', '23.6']
['AUDIO-USDT', '5m', 'AUDIO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTT-USDT', '5m', 'BTT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAND-USDT', '5m', 'BAND-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BLZ-USDT', '5m', 'BLZ-USDT', '2020-10-01', '2021-10-01', '560', '607.89', '-46.05', 608, '41', '4.96', '2.3', '13.2', '6', '12', 7762, -10497, '231', '329', '85.76']
['STMX-USDT', '5m', 'STMX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LIT-USDT', '5m', 'LIT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SKL-USDT', '5m', 'SKL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['REEF-USDT', '5m', 'REEF-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HNT-USDT', '5m', 'HNT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TRB-USDT', '5m', 'TRB-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FLM-USDT', '5m', 'FLM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTS-USDT', '5m', 'BTS-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MTL-USDT', '5m', 'MTL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
