['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', ':2D?5Z', '2021-04-01', '2021-10-01', '331', '62.26', '-10.0', 163, '38', '3.51', '2.96', '16.19', '6', '10', 411, -417, '126', '205', '54.76']
['ETH-USD', '5m', 'h<?Y<X', '2021-04-01', '2021-10-01', '122', '-1.6', '-20.0', -3, '38', '-0.02', '0.09', '-0.16', '4', '8', 387, -757, '46', '76', '54.76']
['ETH-USD', '5m', ':2DI5`', '2021-04-01', '2021-10-01', '259', '59.34', '-12.0', 153, '41', '3.82', '2.72', '12.29', '6', '7', 510, -411, '106', '153', '54.76']
['ETH-USD', '5m', ':2DE5`', '2021-04-01', '2021-10-01', '260', '64.53', '-11.0', 170, '41', '5.23', '2.98', '16.03', '6', '7', 495, -425, '106', '154', '54.76']
['ETH-USD', '5m', ':2F?5`', '2021-04-01', '2021-10-01', '260', '67.04', '-11.0', 178, '41', '5.5', '3.24', '15.57', '6', '7', 442, -441, '107', '153', '54.76']
['ETH-USD', '5m', 'O;ie`,', '2021-04-01', '2021-10-01', '258', '2.79', '-26.0', 6, '35', '0.05', '0.38', '0.22', '3', '8', 1012, -389, '91', '167', '54.76']
['ETH-USD', '5m', ':2DH5m', '2021-04-01', '2021-10-01', '114', '19.65', '-8.0', 43, '45', '1.44', '1.74', '5.67', '5', '6', 390, -342, '51', '63', '54.76']
['ETH-USD', '5m', '?2<H5i', '2021-04-01', '2021-10-01', '127', '25.66', '-10.0', 58, '43', '0.92', '2.07', '5.61', '6', '5', 325, -386, '54', '73', '54.76']
['ETH-USD', '5m', 'C3<H5q', '2021-04-01', '2021-10-01', '79', '11.43', '-12.0', 24, '46', '0.28', '1.22', '2.08', '5', '4', 281, -355, '36', '43', '54.76']
['ETH-USD', '5m', '23<H5i', '2021-04-01', '2021-10-01', '157', '23.08', '-9.0', 51, '35', '1.22', '1.75', '5.62', '4', '11', 327, -272, '55', '102', '54.76']
['ETH-USD', '5m', 'I3JlEo', '2021-04-01', '2021-10-01', '6', '-2.46', '-4.0', -5, '50', '-0.06', '-0.88', '-1.22', '2', '2', 180, -397, '3', '3', '54.76']
['ETH-USD', '5m', ':2b45Z', '2021-04-01', '2021-10-01', '331', '50.35', '-17.0', 126, '37', '1.29', '2.33', '7.47', '6', '10', 477, -466, '124', '207', '54.76']
['ETH-USD', '5m', ':2k25Z', '2021-04-01', '2021-10-01', '331', '49.69', '-18.0', 124, '37', '1.21', '2.29', '6.98', '6', '10', 495, -494, '123', '208', '54.76']
['ETH-USD', '5m', 'C3<j+W', '2021-04-01', '2021-10-01', '316', '44.64', '-19.0', 109, '39', '1.64', '1.83', '5.8', '4', '8', 687, -363, '122', '194', '54.76']
['ETH-USD', '5m', 'L2jH:,', '2021-04-01', '2021-10-01', '312', '68.72', '-18.0', 184, '38', '2.45', '2.15', '10.41', '5', '8', 1088, -565, '119', '193', '54.76']
['ETH-USD', '5m', ':2DC5Z', '2021-04-01', '2021-10-01', '331', '64.65', '-11.0', 170, '38', '3.38', '2.94', '16.14', '6', '10', 472, -419, '125', '206', '54.76']
['ETH-USD', '5m', ':2K>5Z', '2021-04-01', '2021-10-01', '331', '54.65', '-12.0', 139, '37', '2.34', '2.56', '11.89', '6', '10', 446, -417, '123', '208', '54.76']
['ETH-USD', '5m', ':2K=5Z', '2021-04-01', '2021-10-01', '331', '54.65', '-12.0', 139, '37', '2.34', '2.56', '11.89', '6', '10', 446, -417, '123', '208', '54.76']
['ETH-USD', '5m', 'C3<l5X', '2021-04-01', '2021-10-01', '278', '51.52', '-18.0', 129, '41', '2.27', '2.27', '7.14', '5', '6', 740, -366, '113', '165', '54.76']
['ETH-USD', '5m', ':2DB5Z', '2021-04-01', '2021-10-01', '331', '61.02', '-12.0', 159, '38', '2.68', '2.85', '13.25', '6', '10', 448, -407, '125', '206', '54.76']
['ETH-USD', '5m', ':2K?5Z', '2021-04-01', '2021-10-01', '331', '60.18', '-12.0', 156, '37', '2.52', '2.71', '13.28', '6', '10', 477, -429, '123', '208', '54.76']
['ETH-USD', '5m', ':2M?5Z', '2021-04-01', '2021-10-01', '331', '40.17', '-16.0', 96, '37', '0.89', '2.0', '5.84', '6', '10', 442, -378, '122', '209', '54.76']
['ETH-USD', '5m', ':1DH5i', '2021-04-01', '2021-10-01', '148', '7.8', '-11.0', 16, '41', '0.25', '0.7', '1.45', '4', '7', 372, -480, '60', '88', '54.76']
['ETH-USD', '5m', '*[kX7g', '2021-04-01', '2021-10-01', '116', '27.54', '-14.0', 62, '31', '0.72', '1.73', '4.5', '3', '12', 1025, -316, '36', '80', '54.76']
['ETH-USD', '5m', 'I3JljH', '2021-04-01', '2021-10-01', '141', '21.26', '-14.0', 47, '41', '0.72', '1.3', '3.37', '4', '6', 807, -403, '58', '83', '54.76']
['ETH-USD', '5m', '^KId^2', '2021-04-01', '2021-10-01', '178', '29.96', '-15.0', 69, '36', '1.03', '1.37', '4.59', '4', '9', 765, -578, '64', '114', '54.76']
['ETH-USD', '5m', 'O,g_Du', '2021-04-01', '2021-10-01', '3', '-2.28', '-3.0', -4, '33', '-0.09', '-0.95', '-1.54', '1', '1', 182, -291, '1', '2', '54.76']
['ETH-USD', '5m', '*Fk6mU', '2021-04-01', '2021-10-01', '4', '1.69', '-2.0', 3, '25', '0.67', '0.63', '1.71', '1', '3', 375, -77, '1', '3', '54.76']
