'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'BAKE-USDT','5m','BAKE-USDT','2021-08-01','2021-10-01','23','-35.11','-33.0',-82,'70','-2.26','-2.47','5','1',158,-1329,'16','7','-14.92'
'ALPHA-USDT','5m','ALPHA-USDT','2021-08-01','2021-10-01','17','-52.18','-16.0',-40,'53','-0.8','-2.51','4','5',137,-1734,'9','8','36.58'
'AAVE-USDT','5m','AAVE-USDT','2021-08-01','2021-10-01','28','-47.24','-32.0',-83,'64','-2.62','-2.62','8','2',153,-1381,'18','10','-16.41'
'EGLD-USDT','5m','EGLD-USDT','2021-08-01','2021-10-01','25','-22.03','-25.0',-65,'72','-1.64','-2.62','13','3',140,-803,'18','7','141.6'
'ZEC-USDT','5m','ZEC-USDT','2021-08-01','2021-10-01','23','-36.58','-28.0',-73,'65','-2.14','-2.64','6','4',161,-1118,'15','8','-3.71'
'OGN-USDT','5m','OGN-USDT','2021-08-01','2021-10-01','14','-42.09','-25.0',-67,'50','-2.08','-2.7','4','4',151,-1145,'7','7','-7.72'
'LRC-USDT','5m','LRC-USDT','2021-08-01','2021-10-01','28','-55.18','-33.0',-89,'68','-2.71','-2.7','8','3',149,-1966,'19','9','45.28'
'KEEP-USDT','5m','KEEP-USDT','2021-08-01','2021-10-01','33','-72.4','-31.0',-84,'67','-1.82','-2.71','11','5',151,-1691,'22','11','21.68'
'RSR-USDT','5m','RSR-USDT','2021-08-01','2021-10-01','24','-49.65','-33.0',-90,'62','-2.98','-2.73','9','3',126,-1266,'15','9','-5.01'
'BTT-USDT','5m','BTT-USDT','2021-08-01','2021-10-01','26','-39.66','-29.0',-80,'69','-2.71','-2.76','7','2',154,-1392,'18','8','11.66'
'ETC-USDT','5m','ETC-USDT','2021-08-01','2021-10-01','20','-18.51','-18.0',-51,'70','-1.41','-2.8','6','3',157,-963,'14','6','-8.5'
