'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTC-USDT','1h','7.=g','2021-04-01','2021-08-01','52','20.35','-17.0',73,'50','1.26','4.31','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','?)Aw','2021-04-01','2021-08-01','94','17.64','-14.41',62,'41','1.07','4.3','4','4',200,-70,'39','55','-29.61'
'BTC-USDT','1h','7.Ag','2021-04-01','2021-08-01','52','20.15','-17.22',72,'48','1.24','4.21','6','4',181,-82,'25','27','-29.61'
'BTC-USDT','1h','9.@g','2021-04-01','2021-08-01','52','20.15','-17.22',72,'48','1.24','4.21','6','4',181,-82,'25','27','-29.61'
'BTC-USDT','1h','8.@g','2021-04-01','2021-08-01','52','20.15','-17.22',72,'48','1.24','4.21','6','4',181,-82,'25','27','-29.61'
'BTC-USDT','1h','==SZ','2021-04-01','2021-08-01','22','16.2','-13.44',56,'64','1.32','4.18','4','2',162,-98,'14','8','-29.61'
'BTC-USDT','1h','7.Tu','2021-04-01','2021-08-01','52','20.72','-17.9',75,'48','1.25','4.18','5','4',181,-80,'25','27','-29.61'
'BTC-USDT','1h','7.Jg','2021-04-01','2021-08-01','52','19.91','-17.14',71,'50','1.23','4.16','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','7.9h','2021-04-01','2021-08-01','52','19.91','-17.21',71,'50','1.23','4.15','6','4',181,-82,'26','26','-29.61'
'BTC-USDT','1h','?)Ai','2021-04-01','2021-08-01','94','16.82','-14.17',59,'41','1.03','4.14','4','4',200,-60,'39','55','-29.61'
'BTC-USDT','1h','7.Bg','2021-04-01','2021-08-01','52','19.92','-17.33',71,'48','1.23','4.12','6','4',181,-82,'25','27','-29.61'
'BTC-USDT','1h','?)Ah','2021-04-01','2021-08-01','94','17.24','-14.7',60,'41','1.05','4.1','4','4',200,-59,'39','55','-29.61'
'BTC-USDT','1h','7.Dg','2021-04-01','2021-08-01','52','19.82','-17.36',71,'48','1.23','4.09','6','4',181,-82,'25','27','-29.61'
'BTC-USDT','1h','9.Eg','2021-04-01','2021-08-01','52','19.82','-17.36',71,'48','1.23','4.09','6','4',181,-82,'25','27','-29.61'
'BTC-USDT','1h','7.Eg','2021-04-01','2021-08-01','52','19.82','-17.36',71,'48','1.23','4.09','6','4',181,-82,'25','27','-29.61'
'BTC-USDT','1h',':.hr','2021-04-01','2021-08-01','52','19.94','-17.64',72,'48','1.24','4.05','5','4',181,-79,'25','27','-29.61'
'BTC-USDT','1h','7.hr','2021-04-01','2021-08-01','52','19.94','-17.64',72,'48','1.24','4.05','5','4',181,-79,'25','27','-29.61'
'BTC-USDT','1h','9.hr','2021-04-01','2021-08-01','52','19.94','-17.64',72,'48','1.24','4.05','5','4',181,-79,'25','27','-29.61'
'BTC-USDT','1h','?)Am','2021-04-01','2021-08-01','94','16.38','-14.55',57,'41','1.01','3.91','4','4',200,-63,'39','55','-29.61'
'BTC-USDT','1h','B*7C','2021-04-01','2021-08-01','74','18.65','-17.14',66,'51','1.32','3.86','7','3',81,-67,'38','36','-29.61'
'BTC-USDT','1h','<)Nr','2021-04-01','2021-08-01','102','14.96','-13.46',51,'38','0.99','3.81','4','4',200,-46,'39','63','-29.61'
'BTC-USDT','1h','9.r','2021-04-01','2021-08-01','52','18.58','-17.54',66,'48','1.17','3.75','5','4',181,-77,'25','27','-29.61'
'BTC-USDT','1h','=*vM','2021-04-01','2021-08-01','86','21.38','-21.55',78,'35','1.4','3.61','5','10',223,-48,'30','56','-29.61'
'BTC-USDT','1h','(3Bu','2021-04-01','2021-08-01','94','18.34','-18.32',65,'36','1.15','3.54','5','7',203,-40,'34','60','-29.61'
'BTC-USDT','1h','W)Jr','2021-04-01','2021-08-01','52','19.28','-19.71',69,'46','1.27','3.49','3','5',175,-103,'24','28','-29.61'
