'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'ZIL-USDT','5m','ZIL-USDT','2021-05-10','2021-10-26','83','4.14','-3.82',9,'40','0.34','0.97','2.38','4','7',136,-103,'33','50','-52.9'
'LRC-USDT','5m','LRC-USDT','2021-05-10','2021-10-26','68','6.74','-6.42',15,'43','0.28','1.27','2.34','6','10',144,-219,'29','39','-25.04'
'SC-USDT','5m','SC-USDT','2021-05-10','2021-10-26','59','5.56','-5.39',12,'41','0.27','1.29','2.29','3','6',137,-126,'24','35','-51.78'
'DENT-USDT','5m','DENT-USDT','2021-05-10','2021-10-26','68','3.98','-3.86',9,'40','0.54','0.8','2.26','3','11',136,-214,'27','41','-33.92'
'BAL-USDT','5m','BAL-USDT','2021-05-10','2021-10-26','71','5.64','-5.52',12,'42','0.17','1.27','2.26','4','6',143,-111,'30','41','-66.19'
'SAND-USDT','5m','SAND-USDT','2021-05-10','2021-10-26','65','6.47','-6.71',14,'42','0.22','1.17','2.15','3','7',147,-164,'27','38','48.43'
'IOST-USDT','5m','IOST-USDT','2021-05-10','2021-10-26','59','2.93','-2.99',6,'44','0.38','0.76','2.14','3','7',137,-237,'26','33','-20.06'
'COMP-USDT','5m','COMP-USDT','2021-05-10','2021-10-26','81','6.09','-6.51',14,'43','0.15','1.33','2.08','6','8',142,-130,'35','46','-58.24'
'ADA-USDT','5m','ADA-USDT','2021-05-10','2021-10-26','66','4.22','-4.66',9,'45','0.39','1.01','1.99','4','6',139,-167,'30','36','21.63'
'AKRO-USDT','5m','AKRO-USDT','2021-05-10','2021-10-26','85','6.91','-8.44',15,'44','0.18','1.35','1.83','3','5',150,-123,'37','48','-25.7'
'FLM-USDT','5m','FLM-USDT','2021-05-10','2021-10-26','76','5.12','-6.6',11,'42','0.14','1.08','1.71','4','5',142,-129,'32','44','-41.36'
'UNI-USDT','5m','UNI-USDT','2021-05-10','2021-10-26','90','4.14','-5.67',9,'39','0.15','0.92','1.6','4','8',141,-102,'35','55','-32.31'
'EGLD-USDT','5m','EGLD-USDT','2021-05-10','2021-10-26','67','3.31','-4.56',7,'36','0.15','0.71','1.59','2','6',138,-190,'24','43','57.09'
'ONT-USDT','5m','ONT-USDT','2021-05-10','2021-10-26','61','3.12','-4.49',7,'44','0.14','0.78','1.52','5','8',132,-153,'27','34','-63.7'
'BLZ-USDT','5m','BLZ-USDT','2021-05-10','2021-10-26','80','4.93','-7.2',11,'40','0.14','0.99','1.51','4','7',146,-127,'32','48','-37.31'
'SFP-USDT','5m','SFP-USDT','2021-05-10','2021-10-26','86','5.07','-7.71',11,'40','0.14','0.88','1.45','4','7',147,-146,'34','52','-26.28'
'HBAR-USDT','5m','HBAR-USDT','2021-05-10','2021-10-26','72','2.36','-3.61',5,'43','0.27','0.52','1.43','3','5',135,-175,'31','41','32.38'
'THETA-USDT','5m','THETA-USDT','2021-05-10','2021-10-26','69','4.11','-6.5',9,'38','0.17','0.86','1.39','4','8',137,-156,'26','43','-43.19'
'SKL-USDT','5m','SKL-USDT','2021-05-10','2021-10-26','95','3.64','-6.97',8,'40','0.09','0.68','1.15','3','7',144,-152,'38','57','-44.81'
'RSR-USDT','5m','RSR-USDT','2021-05-10','2021-10-26','82','2.79','-5.44',6,'40','0.1','0.59','1.12','3','5',136,-134,'33','49','-56.38'
