Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
925	1.84	-0.48	4.87	279	30	22	5367.84	234.2	206.62	55	40	86	2.077	2.68284	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 57, 'max_risk_long': 65}
926	1.43	1.21	3.39	618	96	51	11479.39	831.26	505.29	53	50	63	2.01	1.20017	{'ott_len': 33, 'ott_percent': 156, 'ott_bw_up': 134, 'tps_qty_index': 64, 'max_risk_long': 86}
936	1.02	5.39	3.08	93	10	10	852.06	88.14	84.06	48	90	70	3.163	2.18619	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 149, 'tps_qty_index': 65, 'max_risk_long': 50}
939	1.07	1.27	2.75	1158	191	107	10087.92	1674.54	1028.69	49	53	53	1.697	0.91768	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 88, 'tps_qty_index': 40, 'max_risk_long': 55}
940	1.05	5.07	3.46	102	9	11	949.82	77.72	93.37	47	89	73	3.193	2.02322	{'ott_len': 33, 'ott_percent': 78, 'ott_bw_up': 147, 'tps_qty_index': 69, 'max_risk_long': 49}
941	1.61	4.7	4.0	229	27	14	3065.63	266.39	120.99	60	74	86	3.437	1.6202	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 149, 'tps_qty_index': 98, 'max_risk_long': 91}
945	1.84	6.18	4.13	164	11	12	1919.45	95.43	102.95	65	91	92	4.05	2.17111	{'ott_len': 32, 'ott_percent': 103, 'ott_bw_up': 149, 'tps_qty_index': 110, 'max_risk_long': 52}
948	1.27	1.42	4.03	475	68	37	8132.37	591.94	371.96	51	46	68	2.24	1.552	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 149, 'tps_qty_index': 59, 'max_risk_long': 65}
949	2.02	3.51	3.42	242	22	20	4167.72	187.89	174.87	57	64	70	2.983	0.83548	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 77, 'max_risk_long': 55}
950	1.15	2.22	2.03	753	113	67	10748.65	1116.63	574.33	51	54	63	1.8	0.57088	{'ott_len': 29, 'ott_percent': 129, 'ott_bw_up': 116, 'tps_qty_index': 93, 'max_risk_long': 58}
