['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Serenity', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['LINK-USDT', '5m', 'LINK-USDT', '2021-04-01', '2021-12-19', '71', '28.18', '-13.3', 85, '61', '1.27', '2.62', '6.42', '10', '5', 579, -1001, '43', '28', '-34.34']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-04-01', '2021-12-19', '92', '-49.51', '-28.76', -18, '49', '-0.05', '-0.42', '-0.63', '6', '5', 411, -675, '45', '47', '-62.34']
['LTC-USDT', '5m', 'LTC-USDT', '2021-04-01', '2021-12-19', '53', '-8.86', '-13.45', 20, '51', '0.3', '0.93', '1.5', '4', '4', 420, -852, '27', '26', '-24.98']
['EOS-USDT', '5m', 'EOS-USDT', '2021-04-01', '2021-12-19', '60', '-12.56', '-13.28', 21, '53', '0.34', '0.96', '1.55', '5', '5', 382, -530, '32', '28', '-33.06']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-04-01', '2021-12-19', '64', '-7.55', '-20.46', 37, '55', '0.25', '1.37', '1.83', '4', '5', 526, -809, '35', '29', '0.29']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-04-01', '2021-12-19', '43', '-32.1', '-30.59', -31, '53', '-0.06', '-0.98', '-1.01', '6', '5', 308, -1531, '23', '20', '218.63']
['CRV-USDT', '5m', 'CRV-USDT', '2021-04-01', '2021-12-19', '76', '-23.78', '-18.17', 13, '49', '0.07', '0.58', '0.71', '3', '5', 401, -653, '37', '39', '42.26']
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-04-01', '2021-12-19', '74', '12.56', '-11.65', 48, '57', '0.88', '1.6', '4.13', '9', '3', 484, -675, '42', '32', '512.29']
['AXS-USDT', '5m', 'AXS-USDT', '2021-04-01', '2021-12-19', '75', '-56.97', '-37.81', -35, '43', '-0.04', '-1.27', '-0.94', '5', '5', 386, -747, '32', '43', '1572.57']
['SRM-USDT', '5m', 'SRM-USDT', '2021-04-01', '2021-12-19', '85', '-72.69', '-47.69', -55, '40', '-0.05', '-1.95', '-1.15', '4', '7', 426, -777, '34', '51', '-37.0']
['REN-USDT', '5m', 'REN-USDT', '2021-04-01', '2021-12-19', '82', '52.74', '-8.98', 129, '63', '6.46', '3.0', '14.41', '11', '3', 695, -892, '52', '30', '-50.31']
['ONE-USDT', '5m', 'ONE-USDT', '2021-04-01', '2021-12-19', '80', '29.88', '-14.47', 88, '59', '2.07', '2.44', '6.09', '10', '4', 525, -669, '47', '33', '17.82']
['ETC-USDT', '5m', 'ETC-USDT', '2021-04-01', '2021-12-19', '57', '-24.9', '-21.28', -1, '49', '-0.0', '0.09', '-0.05', '5', '6', 421, -942, '28', '29', '145.81']
['BCH-USDT', '5m', 'BCH-USDT', '2021-04-01', '2021-12-19', '50', '-9.14', '-12.81', 12, '54', '0.13', '0.61', '0.96', '5', '3', 411, -757, '27', '23', '-20.05']
['ICP-USDT', '5m', 'ICP-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AAVE-USDT', '5m', 'AAVE-USDT', '2021-04-01', '2021-12-19', '69', '-5.89', '-15.16', 26, '51', '0.29', '0.95', '1.74', '5', '5', 471, -559, '35', '34', '-49.85']
['1INCH-USDT', '5m', '1INCH-USDT', '2021-04-01', '2021-12-19', '64', '-10.83', '-11.65', 23, '53', '0.46', '0.92', '1.93', '6', '4', 406, -941, '34', '30', '-43.17']
['ALICE-USDT', '5m', 'ALICE-USDT', '2021-04-01', '2021-12-19', '78', '-49.44', '-46.63', -32, '46', '-0.02', '-1.18', '-0.7', '4', '9', 328, -872, '36', '42', '-16.11']
