['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', 'r,W/I', '2021-08-01', '2021-09-25', '51', '14.59', '-10.61', 143, '53', '2.68', '13.47', '5', '4', 677, -213, '27', '24', '15.62']
['ETH-USD', '5m', 'K<LaI', '2021-08-01', '2021-09-25', '62', '19.93', '-9.54', 227, '42', '3.09', '23.77', '4', '5', 824, -231, '26', '36', '15.62']
['ETH-USD', '5m', 'N5V4I', '2021-08-01', '2021-09-25', '71', '11.45', '-10.42', 103, '38', '1.95', '9.86', '4', '6', 712, -211, '27', '44', '15.62']
['ETH-USD', '5m', '@<j:/', '2021-08-01', '2021-09-25', '80', '4.13', '-13.58', 30, '34', '0.81', '2.22', '4', '8', 936, -249, '27', '53', '15.62']
['ETH-USD', '5m', '@<jU/', '2021-08-01', '2021-09-25', '80', '4.13', '-13.58', 30, '34', '0.81', '2.22', '4', '8', 936, -249, '27', '53', '15.62']
['ETH-USD', '5m', 'L5-)=', '2021-08-01', '2021-09-25', '65', '10.6', '-8.55', 93, '45', '2.57', '10.85', '3', '5', 321, -212, '29', '36', '15.62']
['ETH-USD', '5m', 'N5VVI', '2021-08-01', '2021-09-25', '74', '7.93', '-11.16', 64, '36', '1.42', '5.77', '4', '6', 692, -209, '27', '47', '15.62']
['ETH-USD', '5m', '\\4>=b', '2021-08-01', '2021-09-25', '52', '4.26', '-11.61', 31, '46', '0.97', '2.7', '5', '5', 590, -207, '24', '28', '15.62']
['ETH-USD', '5m', 'n>dER', '2021-08-01', '2021-09-25', '47', '-6.15', '-18.72', -34, '34', '-0.91', '-1.81', '2', '7', 582, -264, '16', '31', '15.62']
['ETH-USD', '5m', 'N83VI', '2021-08-01', '2021-09-25', '68', '13.74', '-7.21', 131, '40', '2.92', '18.22', '4', '5', 460, -202, '27', '41', '15.62']
['ETH-USD', '5m', 'V@Q<P', '2021-08-01', '2021-09-25', '54', '12.82', '-12.86', 120, '37', '2.37', '9.29', '3', '8', 898, -263, '20', '34', '15.62']
['ETH-USD', '5m', ']3hHB', '2021-08-01', '2021-09-25', '68', '2.57', '-16.57', 18, '43', '0.62', '1.09', '4', '6', 791, -199, '29', '39', '15.62']
['ETH-USD', '5m', 'r3)VI', '2021-08-01', '2021-09-25', '54', '13.62', '-3.98', 130, '54', '3.6', '32.61', '4', '3', 271, -283, '29', '25', '15.62']
['ETH-USD', '5m', '\\<<UI', '2021-08-01', '2021-09-25', '56', '11.57', '-14.74', 104, '41', '2.13', '7.06', '5', '6', 759, -304, '23', '33', '15.62']
['ETH-USD', '5m', '@<CUI', '2021-08-01', '2021-09-25', '80', '4.94', '-13.33', 37, '34', '0.99', '2.77', '4', '8', 730, -246, '27', '53', '15.62']
['ETH-USD', '5m', '3G:Op', '2021-08-01', '2021-09-25', '44', '6.98', '-9.73', 55, '39', '1.45', '5.68', '2', '4', 598, -260, '17', '27', '15.62']
['ETH-USD', '5m', '(]hVM', '2021-08-01', '2021-09-25', '108', '8.03', '-8.59', 65, '23', '1.63', '7.62', '2', '13', 1073, -212, '25', '83', '15.62']
['ETH-USD', '5m', 'N9cVB', '2021-08-01', '2021-09-25', '68', '11.51', '-8.47', 103, '38', '2.2', '12.22', '4', '5', 681, -220, '26', '42', '15.62']
