['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['SNX-USDT', '30m', 'SNX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1000XEC-USDT', '30m', '1000XEC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZEC-USDT', '30m', 'ZEC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CHZ-USDT', '30m', 'CHZ-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['YFI-USDT', '30m', 'YFI-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOTA-USDT', '30m', 'IOTA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAL-USDT', '30m', 'BAL-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['QTUM-USDT', '30m', 'QTUM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZEN-USDT', '30m', 'ZEN-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DASH-USDT', '30m', 'DASH-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AKRO-USDT', '30m', 'AKRO-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MANA-USDT', '30m', 'MANA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MKR-USDT', '30m', 'MKR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ENJ-USDT', '30m', 'ENJ-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CTK-USDT', '30m', 'CTK-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TOMO-USDT', '30m', 'TOMO-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LINA-USDT', '30m', 'LINA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HOT-USDT', '30m', 'HOT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
